,AFG,,,ALB,DZA,AGO,,ARG,ARM,,,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BOL,BIH,,BRA,BGR,BFA,BDI,,KHM,CMR,CAN,,CAF,TCD,CHL,CHN,,,,COL,COG,CRI,,HRV,CUB,CYP,CZE,,COD,DNK,DJI,DOM,,ECU,,EGY,SLV,GNQ,EST,ETH,,,,FJI,FIN,,,,,,,,,,,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GLP,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KWT,KGZ,,LAO,LVA,LBN,LBR,LBY,LTU,MDG,MWI,MYS,MLI,MLT,MRT,MUS,MEX,MNG,MAR,MOZ,MMR,NPL,,NLD,,,NZL,NIC,NER,NGA,NOR,,OMN,,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,MDA,ROU,RUS,RWA,WSM,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SOM,ZAF,ESP,LKA,SHN,,,SDN,SUR,SWE,CHE,SYR,,TJK,TZA,MKD,THA,TGO,TTO,TUN,TUR,TKM,UGA,GBR,UKR,ARE,URY,,USA,UZB,VEN,VNM,,YEM,,ZMB,ZWE
BLZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1664,NA,NA,NA,NA,NA,NA,6855,NA,NA,NA,NA,2265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4182,NA,NA,NA,8010,NA,NA,1132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1252,NA,NA,NA,5148,NA,10105,NA,63388,NA,NA,NA,NA,NA,6377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40428,NA,NA,NA,NA,NA,NA,5319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7577,NA,NA,NA,NA,42364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14812,NA,NA,NA,NA,NA,NA,72690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42688,NA,NA,NA,NA,NA,NA,33893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216309,NA,NA,NA,51159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,NA,NA,27097,NA,NA,NA,5527,NA,78850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2107,NA,NA,NA,NA,NA,NA,11642,NA,NA,NA,NA,48381,NA,NA,NA,NA,NA,59746,NA,NA,NA,NA,19470,NA,NA,NA,NA,647,1894,5016,NA,NA,1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16431,29534,NA,NA,NA,NA,NA,NA,3866,15424,NA,NA,NA,NA,NA,68284,NA,NA,695,7772,NA,NA,62831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1846,NA,NA,NA,NA,NA,NA,NA,13889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31433,NA,NA,NA,NA,NA,4711,NA,NA,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,4264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11629,NA,NA,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3265,NA,NA,NA,NA,NA,290293,NA,198801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29692,NA,NA,NA,NA,NA,NA,57796,NA,NA,NA,2298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17660,NA,NA,NA,NA,NA,NA,NA,25103,NA,NA,NA,NA,NA,NA,NA,NA,NA,9272,NA,NA,488756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOL,NA,NA,NA,NA,NA,NA,NA,277560,NA,NA,NA,1493,2335,NA,NA,NA,NA,NA,NA,6865,NA,NA,NA,NA,NA,NA,534577,NA,NA,NA,NA,NA,NA,20608,NA,NA,NA,184224,14488,NA,NA,NA,239023,NA,NA,NA,NA,NA,NA,642,NA,NA,2251,NA,NA,NA,10425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19460,NA,NA,NA,NA,NA,NA,NA,NA,NA,43009,NA,NA,NA,39736,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3708,44973,NA,55955,NA,NA,NA,NA,NA,11404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4559,NA,NA,NA,NA,35815,NA,NA,NA,NA,NA,NA,10437,NA,NA,745,NA,NA,NA,NA,NA,NA,NA,349,NA,NA,NA,134422,NA,474,467,NA,NA,NA,1258,NA,NA,NA,NA,NA,NA,10723,NA,NA,NA,NA,46349,NA,NA,NA,NA,NA,NA,11594,4844,NA,NA,NA,NA,NA,1805,NA,NA,NA,NA,NA,NA,30710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIH,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,4648,175905,NA,NA,NA,NA,NA,NA,26330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4818,NA,NA,NA,NA,3424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49750,NA,NA,21860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6239,NA,NA,NA,NA,NA,NA,NA,NA,NA,86017,NA,NA,NA,407522,NA,NA,26615,NA,NA,NA,NA,NA,NA,NA,NA,155757,NA,NA,NA,NA,NA,NA,3997,1967,542410,NA,3541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28910,NA,NA,NA,22320,77603,NA,NA,NA,NA,NA,NA,818,13723,419840,NA,NA,24339,NA,NA,NA,NA,NA,NA,22495,16705,NA,NA,NA,NA,NA,NA,NA,NA,NA,29167,NA,NA,27825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA,NA,NA,NA,459,1643705,134255,1259571,13369476,NA,NA,NA,738033,469716,NA,26757,NA,63303,22759,73974,2131074,1664,33893,NA,534577,NA,NA,NA,71271,2155,NA,NA,737,NA,2196382,NA,NA,NA,2363441,2963365,959421,NA,NA,939141,80757,145262,89456,129810,113110,4719,147597,NA,370,329343,NA,128262,NA,150667,NA,275106,37862,NA,10233,NA,NA,NA,NA,NA,517221,NA,NA,NA,NA,NA,NA,NA,NA,NA,4285602,NA,NA,NA,8154131,43058,2631,138467,NA,NA,73474,5513,NA,NA,NA,28272,314471,3126,NA,524093,NA,488021,244739,363889,447459,4650058,147297,6098906,20794,28305,9842,NA,247792,2464094,NA,NA,NA,NA,NA,49010,NA,54446,NA,NA,NA,646710,27997,19131,8726,NA,2776277,NA,258581,5973,NA,NA,133261,2683833,NA,NA,75742,NA,NA,1007610,480698,NA,16728,NA,54805,91892,NA,1184980,593971,251316,385961,607433,NA,NA,184966,1060260,NA,NA,1437187,10573,NA,NA,547562,23389,78585,NA,533766,2382723,13307,NA,65625,NA,2501,NA,1067104,1365468,24263,1439314,NA,NA,NA,488836,7736,136430,91320,343236,NA,612,3123362,NA,293400,1310105,NA,28245097,NA,NA,NA,NA,NA,NA,NA,NA
BGR,NA,NA,NA,NA,NA,NA,NA,10036,NA,NA,NA,9060,196555,NA,NA,NA,2878,NA,10590,523242,NA,NA,NA,NA,NA,NA,71271,NA,NA,NA,NA,NA,NA,53455,NA,NA,NA,NA,78853,9833,NA,NA,2507,NA,NA,1596,6936,2299,15586,136677,NA,NA,71807,NA,NA,NA,2833,NA,32286,NA,NA,NA,2143,NA,NA,NA,NA,55897,NA,NA,NA,NA,NA,NA,NA,NA,NA,600798,NA,NA,24391,1442061,4777,NA,694549,NA,NA,10963,NA,NA,NA,NA,NA,91658,NA,NA,40306,NA,21818,NA,36963,42558,1219292,NA,85218,14453,9317,NA,NA,2090,34103,NA,NA,NA,NA,6428,14869,NA,2911,7129,NA,NA,10200,NA,NA,NA,NA,32355,NA,31646,NA,NA,NA,NA,191709,NA,NA,367,NA,NA,NA,14554,NA,4412,NA,1711,1289,NA,NA,20927,2190,120590,28012,NA,14932,316446,1755747,NA,NA,13187,NA,NA,NA,23159,47567,69981,NA,5384,206009,3366,NA,500,NA,3491,NA,78355,105994,18765,43333,9242,NA,109796,13089,NA,NA,4287,669896,9860,NA,263363,543734,10385,NA,NA,442507,NA,NA,NA,NA,NA,NA,NA,NA
BFA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519,NA,NA,NA,NA,NA,NA,11876,NA,NA,NA,NA,NA,NA,2155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144193,NA,NA,NA,12191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4223,NA,NA,NA,1525,NA,34354,NA,12008,NA,NA,NA,NA,NA,1435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2139,NA,NA,NA,NA,NA,NA,7449,NA,NA,NA,NA,4863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494,10544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6363,NA,NA,2737,3316,NA,NA,8448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,NA,NA,2278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13828,NA,NA,NA,11703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587,NA,NA,NA,NA,NA,2433,NA,2512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5588,NA,NA,NA,NA,NA,2134,NA,NA,NA,5751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KHM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2355,13533,NA,NA,NA,NA,NA,NA,16566,NA,NA,NA,NA,NA,NA,737,NA,NA,NA,NA,NA,NA,16675,NA,NA,NA,NA,217080,65310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3465,NA,NA,NA,NA,NA,NA,NA,NA,NA,94615,NA,NA,NA,112207,NA,NA,4512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49872,NA,NA,NA,13760,NA,16377,NA,101324,NA,NA,NA,NA,NA,95591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18903,NA,NA,1251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2104,NA,1113,NA,NA,NA,1110,NA,NA,NA,NA,NA,NA,492340,NA,NA,NA,NA,11318,NA,NA,NA,NA,NA,NA,19930,5744,NA,NA,NA,NA,NA,357549,NA,NA,NA,1390,NA,NA,86266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8607,NA,NA,NA,NA,NA,NA,184119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52255,NA,NA,NA,NA,157019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2564,NA,NA,2927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7634,NA,NA,NA,NA,NA,NA,NA,NA,NA,796914,NA,NA,NA,138711,NA,NA,11242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7187,NA,NA,NA,18002,4801,759207,NA,24394,NA,NA,NA,NA,NA,16281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2257,NA,NA,NA,NA,NA,NA,15072,NA,NA,NA,NA,141541,NA,NA,NA,NA,NA,356194,1585,NA,NA,NA,4132,NA,NA,NA,NA,NA,7035,58701,NA,NA,2905,1768,NA,NA,NA,NA,NA,NA,3503,849,1181,NA,24674,181786,NA,NA,NA,NA,NA,NA,NA,7220,NA,NA,NA,NA,NA,18066,NA,NA,5889,23423,NA,NA,100618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAN,NA,NA,NA,NA,1184645,32563,NA,520061,1697,1125,NA,2200678,897789,2297,24651,12581,199645,23675,2009,2126941,6855,NA,31433,20608,4818,NA,2196382,53455,NA,NA,NA,16675,52255,NA,NA,NA,NA,874576,11418730,2389589,47806,NA,509484,3373,177949,55619,39128,488536,8441,194848,NA,NA,700472,NA,114081,NA,144315,NA,132934,118525,NA,61208,11630,NA,NA,NA,2792,553720,NA,NA,NA,NA,NA,NA,NA,NA,NA,4751187,4290,NA,NA,8455078,46956,NA,164606,12749,NA,190992,19005,NA,136671,20604,51314,174007,63922,NA,1239365,NA,730479,513110,1118796,741445,4252215,202214,20081058,13785,38850,21233,NA,15305,5662146,171986,950,NA,1360,24560,24939,2334,NA,47645,3112,3991,2143183,22251,61182,NA,13861,12352317,NA,287390,8417,NA,8612,38847,1671371,NA,7738,563457,47362,1311,347146,3911927,NA,17901,NA,262258,43008,1215,4209,337429,1233829,340017,260220,20987,NA,119013,645648,NA,NA,896950,22093,NA,1760,1462243,39719,83157,NA,626020,1215401,121542,NA,75995,NA,NA,41173,1472267,1289573,36589,4747983,NA,15098,7576,1476866,7509,117341,23828,444873,450,3055,14931711,96478,242142,94664,10778,388807820,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43678,NA,NA,NA,7875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2133,NA,NA,NA,NA,NA,3944,NA,4086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56787,NA,NA,NA,17181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268,NA,NA,NA,NA,NA,3093,NA,2580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4953,34627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHL,NA,NA,NA,NA,20202,95411,548136,3426106,NA,NA,NA,158987,63091,NA,NA,NA,2540,NA,NA,249702,NA,NA,NA,184224,NA,NA,2363441,NA,NA,NA,NA,NA,NA,874576,NA,NA,NA,NA,2282511,142981,NA,NA,452777,NA,49757,NA,NA,34834,NA,8156,NA,NA,127334,NA,26609,NA,447832,NA,12142,14678,NA,NA,NA,NA,NA,NA,NA,172755,NA,NA,NA,NA,NA,NA,NA,NA,NA,1302108,NA,NA,NA,1380915,NA,NA,54410,NA,NA,35676,NA,NA,544,NA,NA,9640,23937,NA,186303,NA,1406,NA,63482,63640,1281760,4887,3537780,NA,NA,490,646,3462,1430764,NA,NA,NA,NA,15678,2415,9625,NA,995,277,NA,161020,NA,302,NA,1471,1571824,NA,10486,NA,NA,NA,NA,415175,NA,NA,52780,NA,NA,314285,66082,NA,22645,NA,41382,40620,NA,108751,638863,111713,19514,74743,3117,NA,4354,88789,NA,NA,147569,NA,NA,NA,70902,842,4404,NA,71884,889425,30658,NA,NA,NA,NA,NA,407136,165428,6206,824774,NA,NA,NA,144302,NA,4452,NA,109697,NA,NA,872355,NA,36758,111359,NA,6932126,NA,NA,NA,NA,NA,NA,NA,NA
CHN,23705,959,NA,NA,233233,1873160,2165,1984055,4530,72535,NA,10569602,1584368,4836,NA,117116,911628,NA,111356,5096420,2265,368318,NA,14488,3424,NA,2963365,78853,NA,3668,NA,217080,157019,11418730,NA,NA,NA,2282511,NA,101187658,795342,NA,380284,338775,71059,226475,81313,308986,146614,775565,NA,16105,1861932,NA,72256,NA,150757,NA,902466,58693,321851,64242,53820,NA,NA,NA,11460,3358243,NA,NA,NA,NA,NA,NA,NA,NA,NA,13821037,339597,NA,2817,27326457,115844,NA,740644,NA,NA,138286,NA,7278,10486,NA,57809,1029814,29205,NA,6411994,NA,2375512,973213,1210961,929406,9569497,75767,96604128,246951,1098572,131207,14480,478609,36000753,577895,174519,NA,37151,24615,163873,159456,74317,35221,72586,NA,8712360,32901,89957,27705,106274,3616920,316167,320937,30397,614706,199405,NA,7642000,NA,NA,1499353,41274,NA,666600,1589382,NA,3350894,NA,1034979,1286102,221295,85683,843608,2521603,1465608,392003,468150,NA,276655,7999868,4856,NA,3143150,49395,507,NA,12165315,190827,142868,NA,2031429,4917901,451253,NA,64521,NA,885325,7983,3633782,2833488,NA,31717568,16088,86115,5832,7763176,NA,23393,96331,1440979,14904,12467,11156643,585207,2489466,339390,NA,129954737,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,323,51061,205779,NA,7806,NA,2622948,442855,NA,NA,36794,159663,NA,NA,2050889,NA,NA,4711,NA,NA,NA,959421,9833,NA,NA,NA,65310,NA,2389589,NA,NA,NA,142981,101187658,NA,233298,NA,49867,NA,24320,655,3156,5840,10000,132100,NA,NA,649972,1156,3357,NA,17344,NA,39238,3880,NA,2667,730,NA,NA,NA,16525,590986,NA,NA,NA,NA,NA,NA,NA,NA,NA,2734410,NA,NA,NA,6473124,1938,NA,86859,NA,NA,8661,NA,NA,NA,NA,3281,123384,NA,NA,2001494,NA,50271,NA,987521,1734650,3219800,2258,27237745,3562,1629,37302,NA,45876,11906615,73155,NA,NA,1102,3113,6850,NA,NA,NA,16497,NA,7109879,NA,15449,NA,48611,724858,1930,38048,NA,36583,7954,1220,2995209,NA,33112,470459,2992,NA,123509,267780,NA,50023,NA,607797,41176,7144,13304,26075,3503430,50438,86723,15477,NA,31766,404811,NA,NA,252043,NA,NA,NA,13165358,12398,19670,NA,983309,790717,99350,NA,NA,NA,NA,1389,1560387,2912997,11204,18119744,NA,16414,NA,4477864,NA,2137,10768,257606,NA,9174,13490691,14672,568755,41843,20847,27864929,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14722,14413,NA,NA,NA,NA,NA,NA,21341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47806,NA,NA,NA,NA,795342,233298,NA,NA,NA,NA,NA,NA,NA,NA,NA,1430,NA,NA,27430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6217,NA,NA,NA,NA,NA,NA,NA,NA,NA,163273,NA,NA,NA,288156,NA,NA,4813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40708,NA,108953,NA,NA,NA,NA,NA,53252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4852,NA,NA,NA,NA,14784,NA,NA,NA,NA,NA,NA,58887,NA,NA,2085,NA,NA,NA,6247,NA,NA,NA,882,NA,NA,NA,NA,NA,3060,19369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45427,NA,NA,NA,4156,41907,NA,NA,NA,NA,NA,NA,6403,5292,NA,NA,NA,NA,NA,6231,NA,NA,NA,3328,NA,NA,114023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
